database_name,dataset,variant,seed,n_train,n_test,n_features,rmsep,r2,n_components,fit_time_s,selected_operators,block_sizes,status,status_details
ECOSIS_LeafTraits,Chla+b_spxyG_block2deg,nnls-stack-calibrated,0,2925,3925,196,40.186918629314945,-9.20695917810929,10,5.952635305002332,,,ok,
ECOSIS_LeafTraits,Chla+b_spxyG_block2deg,adaptive-super-learner,0,2925,3925,196,40.599784120513746,-9.417761519534613,10,12.012334640021436,,,ok,
GRAPEVINES,grapevine_chloride_556_KS,trimmed-mean-4,0,388,167,1023,958.3173367868774,0.5890241744626132,10,2.9060567209962755,,,ok,
GRAPEVINES,grapevine_chloride_556_KS,nnls-stack-atoms,0,388,167,1023,956.859133201742,0.5902739284916256,10,12.799170595942996,,,ok,
GRAPEVINES,grapevine_chloride_556_KS,nnls-stack-calibrated,0,388,167,1023,972.0572040178452,0.5771549674683953,10,12.817245719954371,,,ok,
GRAPEVINES,grapevine_chloride_556_KS,adaptive-super-learner,0,388,167,1023,956.859133201742,0.5902739284916256,10,12.852932565030642,,,ok,
MANURE21,All_manure_MgO_SPXY_strat_Manure_type,trimmed-mean-4,0,343,147,1003,0.7813053499120437,0.8905339680952085,10,2.7248201449401677,,,ok,
MANURE21,All_manure_MgO_SPXY_strat_Manure_type,nnls-stack-atoms,0,343,147,1003,0.7796599941133465,0.8909945330264217,10,9.826597360079177,,,ok,
MANURE21,All_manure_MgO_SPXY_strat_Manure_type,nnls-stack-calibrated,0,343,147,1003,0.7830788441536395,0.8900364475941185,10,7.878658399917185,,,ok,
MANURE21,All_manure_MgO_SPXY_strat_Manure_type,adaptive-super-learner,0,343,147,1003,0.7796599941133465,0.8909945330264217,10,6.659112934954464,,,ok,
