variant,n,median,wins,fit_med,fit_total
pipeline-msc-x-osc2-default,57,1.319947277418158,15,5.825627721002093,798.4686586169846
MSC-OSC-AOM-default-numpy,57,1.319947277418158,15,8.361644889002491,1042.773355346013
pipeline-msc-x-osc3-default,57,1.3199485748482345,15,6.423752300004708,802.5940376559884
pipeline-msc-x-osc2-compact,57,1.319979114417419,15,0.3356742780015338,61.308877264978946
pipeline-msc-x-osc3-compact,57,1.3199829376951857,15,0.3329599959979532,61.463643000955926
pipeline-snv-asls-osc1-default,57,1.3250742630811514,14,5.861626548998174,862.3544773809845
pipeline-snv-asls-osc3-default,57,1.3255067600589332,13,6.034019447994069,839.7949062169937
pipeline-x-asls-osc1-compact,57,1.3269040713688645,13,0.5268618069967488,97.52180809502897
pipeline-x-asls-osc2-compact,57,1.327227817570284,14,0.5544569949997822,97.01072086593194
pipeline-x-asls-osc1-default,57,1.3274608031507742,13,5.989411747999839,857.9343128120236
pipeline-snv-asls-osc2-default,57,1.3281980035271497,14,6.2426810689939884,844.6612708289904
pipeline-snv-asls-osc3-compact,57,1.3322173318010966,13,0.5519085139967501,99.99888976704096
pipeline-x-asls-osc3-default,57,1.3348324732407735,13,6.085438801994314,840.1504727139691
pipeline-x-asls-osc3-compact,57,1.3353931926675795,13,0.5571617130044615,96.98118787200656
pipeline-x-x-osc1-compact,57,1.3389681378577365,13,0.3012381709995679,51.0290006899304
POP-K8-numpy,57,1.3415986908528628,13,1.1751181410072604,173.7092983499606
POP-nipals-adjoint-numpy,57,1.3415986908528628,13,4.407201093999902,663.0860152089881
pipeline-x-x-osc3-compact,57,1.3431833576525742,13,0.3110549459961476,52.30727807000221
pipeline-x-x-osc3-default,57,1.3462555475925218,13,5.97301086501102,787.9631044440466
OSC-AOM-default-numpy,57,1.3472433890408082,14,8.06169619600405,998.0634516270438
pipeline-x-x-osc2-default,57,1.3472433890408082,14,6.197991824999917,795.3725741869712
pipeline-x-x-osc2-compact,57,1.3495685189479218,13,0.310708816992701,52.184679666985176
OSC-AOM-compact-numpy,57,1.3495685189479218,13,0.3303287379967514,62.08579275201919
POP-K3-numpy,57,1.3534868988054147,14,0.2443805040093138,41.75870081898756
POP-K5-numpy,57,1.3534868988054147,14,0.5792487659928156,85.77757419201953
POP-simpls-covariance-numpy,57,1.3534868988054147,13,3.750942099002714,438.3424303219799
pipeline-x-x-osc1-default,57,1.3580722385109048,14,5.83442240099248,781.7708655309834
pipeline-x-asls-osc2-default,57,1.3714354302241187,14,6.2093361760053085,847.4793498580402
pipeline-msc-asls-osc3-default,57,1.3846948764545572,13,5.894891203992302,852.7859026200167
pipeline-msc-asls-osc3-compact,57,1.3846948764545572,13,0.6012684599991189,108.40873741096584
pipeline-msc-asls-osc2-default,57,1.3864477113469496,13,6.127290749995154,869.1216246089898
pipeline-msc-asls-osc2-compact,57,1.3864663185226038,13,0.5875761929928558,106.04959900502581
pipeline-msc-asls-osc1-compact,57,1.3864798710022936,13,0.5778577720047906,107.09729614203388
pipeline-msc-asls-osc1-default,57,1.3885616136850023,14,5.731795860992861,845.8706228420051
POP-K8-cv3-oneSE-numpy,57,1.4471656982461354,13,3.1794483439880423,489.13239512601285
POP-K8-cv3-numpy,57,1.4471656982461354,13,3.101358754996909,482.1899629350082
pipeline-emsc1-asls-osc3-compact,57,1.4647871267079133,12,0.553596755999024,103.8225793849997
pipeline-emsc1-asls-osc1-default,57,1.464835438197838,12,6.129391188995214,873.0182856159954
pipeline-emsc1-asls-osc1-compact,57,1.4648387194884218,12,0.562349013009225,101.60826364302193
pipeline-emsc1-asls-osc2-default,57,1.4650165339397936,11,6.41658213599294,868.2988678520487
pipeline-emsc1-asls-osc3-default,57,1.465124803261712,12,6.620871992010507,868.1403811839846
pipeline-emsc1-asls-osc2-compact,57,1.465381122716587,12,0.5312926690094173,103.19758808803454
