task,model,mode,operator_index,operator,grid_index,hyperparameter,cv_rmse_mean
Beer_OriginalExtract_60_KS,PLS,materialized,2,sg_smooth_w21_p3,3,4,0.2662303004788127
Beer_OriginalExtract_60_KS,PLS,materialized,2,sg_smooth_w21_p3,4,5,0.2747583309621581
Beer_OriginalExtract_60_KS,PLS,materialized,2,sg_smooth_w21_p3,5,6,0.27503478186642066
Beer_OriginalExtract_60_KS,PLS,materialized,2,sg_smooth_w21_p3,6,7,0.2763963244690144
Beer_OriginalExtract_60_KS,PLS,materialized,2,sg_smooth_w21_p3,7,8,0.27905304290352523
Beer_OriginalExtract_60_KS,PLS,materialized,2,sg_smooth_w21_p3,8,9,0.284838571944949
Beer_OriginalExtract_60_KS,PLS,materialized,2,sg_smooth_w21_p3,9,10,0.2883499050568339
Beer_OriginalExtract_60_KS,PLS,materialized,2,sg_smooth_w21_p3,10,11,0.28922038511859316
Beer_OriginalExtract_60_KS,PLS,materialized,2,sg_smooth_w21_p3,11,12,0.28940290782470757
Beer_OriginalExtract_60_KS,PLS,materialized,2,sg_smooth_w21_p3,12,13,0.28963842462520206
Beer_OriginalExtract_60_KS,PLS,materialized,2,sg_smooth_w21_p3,13,14,0.28975392557365687
Beer_OriginalExtract_60_KS,PLS,materialized,2,sg_smooth_w21_p3,14,15,0.28970456841755143
Beer_OriginalExtract_60_KS,PLS,materialized,3,sg_d1_w11_p2,0,1,1.360751779187367
Beer_OriginalExtract_60_KS,PLS,materialized,3,sg_d1_w11_p2,1,2,1.0784013442781288
Beer_OriginalExtract_60_KS,PLS,materialized,3,sg_d1_w11_p2,2,3,0.9962900750138038
Beer_OriginalExtract_60_KS,PLS,materialized,3,sg_d1_w11_p2,3,4,0.9419079670710468
Beer_OriginalExtract_60_KS,PLS,materialized,3,sg_d1_w11_p2,4,5,0.9288962266110483
Beer_OriginalExtract_60_KS,PLS,materialized,3,sg_d1_w11_p2,5,6,0.9231949875987308
Beer_OriginalExtract_60_KS,PLS,materialized,3,sg_d1_w11_p2,6,7,0.9178332398105542
Beer_OriginalExtract_60_KS,PLS,materialized,3,sg_d1_w11_p2,7,8,0.9182301416732525
Beer_OriginalExtract_60_KS,PLS,materialized,3,sg_d1_w11_p2,8,9,0.9167024816181781
Beer_OriginalExtract_60_KS,PLS,materialized,3,sg_d1_w11_p2,9,10,0.9171975192010822
Beer_OriginalExtract_60_KS,PLS,materialized,3,sg_d1_w11_p2,10,11,0.9173738697572492
Beer_OriginalExtract_60_KS,PLS,materialized,3,sg_d1_w11_p2,11,12,0.9173052532856648
Beer_OriginalExtract_60_KS,PLS,materialized,3,sg_d1_w11_p2,12,13,0.9173167454468816
Beer_OriginalExtract_60_KS,PLS,materialized,3,sg_d1_w11_p2,13,14,0.9173516928812621
Beer_OriginalExtract_60_KS,PLS,materialized,3,sg_d1_w11_p2,14,15,0.9173383729461382
Beer_OriginalExtract_60_KS,PLS,materialized,4,sg_d1_w21_p3,0,1,1.237326802900133
Beer_OriginalExtract_60_KS,PLS,materialized,4,sg_d1_w21_p3,1,2,0.9450895106135953
Beer_OriginalExtract_60_KS,PLS,materialized,4,sg_d1_w21_p3,2,3,0.8894378392171479
Beer_OriginalExtract_60_KS,PLS,materialized,4,sg_d1_w21_p3,3,4,0.8605446003283165
Beer_OriginalExtract_60_KS,PLS,materialized,4,sg_d1_w21_p3,4,5,0.8456245070704487
Beer_OriginalExtract_60_KS,PLS,materialized,4,sg_d1_w21_p3,5,6,0.8448295350380043
