aom_variant,rmsep_mean,rmsep_median,n_runs
pipeline-snv-x-x-default,774.9889498863708,1.0704203982608196,57
pipeline-x-asls-osc1-compact,768.6997044302062,1.7322652861148635,57
pipeline-x-asls-osc1-default,768.438080688797,1.715154596998925,57
pipeline-x-asls-osc2-compact,768.6062075592928,1.7388847419001572,57
pipeline-x-asls-osc2-default,767.5350863470878,1.761818607562439,57
pipeline-x-asls-osc3-compact,768.7606114593852,1.7277349535674698,57
pipeline-x-asls-osc3-default,769.9445473297002,1.7296953406661204,57
pipeline-x-asls-x-compact,769.0760114616943,0.8434094314473001,57
pipeline-x-asls-x-default,791.7239486175383,0.8434094314473001,57
pipeline-x-x-osc1-compact,768.7607073235746,1.780324827224421,57
pipeline-x-x-osc1-default,768.7850189649786,1.775752419684739,57
pipeline-x-x-osc2-compact,768.8744287779783,1.780355071540715,57
pipeline-x-x-osc2-default,768.7347054735244,1.8470784796165665,57
pipeline-x-x-osc3-compact,768.8530859866825,1.7768120201590292,57
pipeline-x-x-osc3-default,770.2334119364206,1.7773954085136106,57
